Component;link;quantity;price
ESP32-S3;Aliexpress;1;7,33 €
RFM98W-433S2;Aliexpress;1;13,69 €
RDM6300;Aliexpress;1;3,16 €
PN532;Aliexpress;1;3,34 €
TP4056;Aliexpress;1;4,34 €
Battery;Aliexpress;1;10,09 €
TSOP38238;Aliexpress;1;2,24 €
IR LED;Aliexpress;1;1,11 €
Speaker;Aliexpress;1;2,07 €
Female GPIO pins;Aliexpress;1;1,21 €
10 pF;Aliexpress;1;1,30 €
Buttons;Aliexpress;4;2,32 €
MPU6050;Aliexpress;1;1,89 €
100 nF;Aliexpress;8;1,31 €
Battery connector;Aliexpress;1;1,92 €
2N3904;Aliexpress;1;1,89 €
BLM21PG331SN1D;Aliexpress;1;4,29 €
Antenna;Aliexpress;1;1,70 €
1K ohm;Aliexpress;2;1,29 €
10k ohm;Aliexpress;4;1,33 €
100 ohm;Aliexpress;1;1,34 €
Oled display;Aliexpress;1;3,06 €
;;;
;;;
